Latitude	Longitude
-23.5640389	-46.649828
-23.5492971	-46.6538564
-23.5616765	-46.6476077
-23.5501858	-46.6462302
-23.5532787	-46.649018
-23.5520176	-46.6547217
-23.5663945	-46.6532413
-23.5679758	-46.6523322
-23.5726989	-46.6545805
-23.5698221	-46.6583705
-23.5712481	-46.6531636
-23.5404295	-46.652639
-23.5419725	-46.6771359
-23.5427882	-46.6841428
-23.540209	-46.6534196
-23.5423781	-46.656461
-23.5426013	-46.6526524
-23.5408801	-46.6598477
-23.5428188	-46.6445361
-23.5442616	-46.6515218
-23.5463093	-46.6888328
