Latitude	Longitude
-23.5310285	-46.64975399999990
-23.5544619	-46.6575186
-23.5578139	-46.6582569
-23.5557939	-46.65199519999990
-23.5515103	-46.6532505
-23.5500178	-46.6459391
-23.5532787	-46.649018
-23.5547634	-46.64686409999990
-23.5640389	-46.649828
-23.5649348	-46.6498287
-23.5661197	-46.6288304
-23.5816031	-46.6257646
-23.5746123	-46.6170217
-23.5648892	-46.6644048
-23.5737177	-46.6549276
-23.5664053	-46.6532304
-23.5694083	-46.6529111
-23.5628401	-46.64334359999990
-23.5635502	-46.6486787
-23.5424552	-46.6520157
-23.540209	-46.6534196
-23.5380662	-46.6525974
-23.5374037	-46.6502612
-23.5297105	-46.6627961
-23.5427882	-46.6841428
-23.5446163	-46.6864912
-23.5433817	-46.68901200000000
-23.5784817	-46.7418572
-23.5817982	-46.74518070000000
-23.5818571	-46.7627082
-23.5498491	-46.75239089999990
-23.5469611	-46.7542738
-23.5440919	-46.7548025
-23.5720482	-46.74437229999990
-23.5727883	-46.7310585
-23.5783868	-46.7295548
-23.5954873	-46.7439833
-23.594241	-46.7577204
-23.586404	-46.7456202
-23.5291426	-46.6365561
-23.5333668	-46.6605196
-23.5329865	-46.66474909999990
-23.5399217	-46.6722625
-23.5360132	-46.682888
-23.5376688	-46.6859051
-23.5393967	-46.6921141
-23.5304169	-46.6967297
-23.5309093	-46.7070948
-23.538228	-46.715812
-23.5389677	-46.7097337
-23.5537073	-46.696724
-23.5614746	-46.6882895
-23.565948	-46.6855599
-23.566072	-46.6876548
-23.5629323	-46.6802579
-23.559586	-46.68322730000000
-23.5582453	-46.6755643
-23.5506106	-46.6814936
